team,player_id,player_name,position,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,PositionEncoded
KC,00-0031060,De'Anthony Thomas,WR,2017,2.0,16.0,14.0,143.0,121.0,73.0,2.0,0.0,1
KC,00-0031060,De'Anthony Thomas,WR,2018,2.0,5.0,3.0,29.0,68.0,30.0,1.0,0.0,1
BAL,00-0031060,De'Anthony Thomas,WR,2019,2.0,2.0,1.0,6.0,-1.0,3.0,0.0,0.0,1
BAL,00-0034201,De'Lance Turner,RB,2018,3.0,2.0,2.0,17.0,3.0,14.0,0.0,0.0,0
MIA,00-0034201,De'Lance Turner,RB,2019,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MIA,00-0033413,De'Veon Smith,RB,2017,3.0,3.0,3.0,27.0,8.0,19.0,0.0,0.0,0
HOU,00-0031763,DeAndre Carter,WR,2018,1.0,25.0,22.0,216.0,86.0,150.0,0.0,0.0,1
HOU,00-0031763,DeAndre Carter,WR,2019,1.0,14.0,11.0,162.0,151.0,57.0,0.0,0.0,1
HOU,00-0031763,DeAndre Carter,WR,2020,2.0,2.0,1.0,8.0,16.0,4.0,0.0,0.0,1
WAS,00-0031763,DeAndre Carter,WR,2021,1.0,44.0,24.0,296.0,485.0,78.0,3.0,0.0,1
LAC,00-0031763,DeAndre Carter,WR,2022,1.0,65.0,46.0,538.0,576.0,206.0,3.0,1.0,1
LV,00-0031763,DeAndre Carter,WR,2023,1.0,7.0,4.0,39.0,4.0,50.0,0.0,0.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2013,2.0,91.0,52.0,802.0,1221.0,181.0,3.0,1.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2014,1.0,127.0,76.0,1210.0,1642.0,373.0,7.0,2.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2015,1.0,193.0,111.0,1523.0,2714.0,225.0,11.0,0.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2016,1.0,151.0,78.0,943.0,1752.0,279.0,4.0,0.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2017,1.0,174.0,96.0,1378.0,2233.0,359.0,14.0,1.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2018,1.0,163.0,115.0,1572.0,1869.0,387.0,11.0,2.0,1
HOU,00-0030564,DeAndre Hopkins,WR,2019,1.0,151.0,104.0,1167.0,1517.0,387.0,7.0,0.0,1
ARI,00-0030564,DeAndre Hopkins,WR,2020,1.0,161.0,115.0,1407.0,1432.0,519.0,6.0,2.0,1
ARI,00-0030564,DeAndre Hopkins,WR,2021,1.0,64.0,42.0,572.0,788.0,140.0,8.0,0.0,1
ARI,00-0030564,DeAndre Hopkins,WR,2022,1.0,98.0,64.0,717.0,976.0,165.0,4.0,1.0,1
TEN,00-0030564,DeAndre Hopkins,WR,2023,1.0,137.0,75.0,1057.0,1934.0,223.0,7.0,0.0,1
MIA,00-0032940,DeAndre Washington,RB,2020,3.0,10.0,5.0,30.0,26.0,23.0,0.0,0.0,0
SF,00-0031511,DeAndrew White,WR,2015,2.0,2.0,2.0,18.0,14.0,4.0,0.0,0.0,1
HOU,00-0031511,DeAndrew White,WR,2017,3.0,7.0,1.0,24.0,106.0,1.0,0.0,0.0,1
CAR,00-0031511,DeAndrew White,WR,2019,2.0,9.0,4.0,51.0,133.0,28.0,0.0,0.0,1
CAR,00-0024242,DeAngelo Williams,RB,2012,1.0,20.0,13.0,187.0,-38.0,213.0,3.0,0.0,0
CAR,00-0024242,DeAngelo Williams,RB,2013,1.0,36.0,26.0,333.0,-52.0,373.0,1.0,1.0,0
CAR,00-0024242,DeAngelo Williams,RB,2014,1.0,6.0,5.0,44.0,-18.0,57.0,0.0,0.0,0
PIT,00-0024242,DeAngelo Williams,RB,2015,1.0,48.0,40.0,369.0,17.0,368.0,0.0,0.0,0
PIT,00-0024242,DeAngelo Williams,RB,2016,2.0,27.0,18.0,118.0,-20.0,132.0,2.0,0.0,0
DAL,00-0028009,DeMarco Murray,RB,2012,1.0,42.0,35.0,251.0,7.0,240.0,0.0,0.0,0
DAL,00-0028009,DeMarco Murray,RB,2013,1.0,66.0,53.0,350.0,16.0,380.0,1.0,0.0,0
DAL,00-0028009,DeMarco Murray,RB,2014,1.0,64.0,57.0,416.0,-80.0,497.0,0.0,2.0,0
PHI,00-0028009,DeMarco Murray,RB,2015,1.0,55.0,44.0,322.0,-46.0,383.0,1.0,0.0,0
TEN,00-0028009,DeMarco Murray,RB,2016,1.0,68.0,53.0,377.0,59.0,320.0,3.0,0.0,0
TEN,00-0028009,DeMarco Murray,RB,2017,1.0,47.0,39.0,266.0,11.0,244.0,1.0,0.0,0
PHI,00-0026189,DeSean Jackson,WR,2012,1.0,88.0,45.0,700.0,1323.0,228.0,3.0,0.0,1
PHI,00-0026189,DeSean Jackson,WR,2013,1.0,126.0,82.0,1332.0,1660.0,487.0,9.0,0.0,1
WAS,00-0026189,DeSean Jackson,WR,2014,2.0,95.0,56.0,1169.0,1380.0,470.0,6.0,0.0,1
WAS,00-0026189,DeSean Jackson,WR,2015,1.0,49.0,30.0,528.0,770.0,158.0,4.0,0.0,1
WAS,00-0026189,DeSean Jackson,WR,2016,1.0,100.0,56.0,1005.0,1489.0,281.0,5.0,0.0,1
TB,00-0026189,DeSean Jackson,WR,2017,1.0,92.0,50.0,668.0,1444.0,191.0,3.0,0.0,1
TB,00-0026189,DeSean Jackson,WR,2018,2.0,74.0,41.0,774.0,1421.0,181.0,5.0,0.0,1
PHI,00-0026189,DeSean Jackson,WR,2019,2.0,10.0,9.0,159.0,147.0,15.0,2.0,0.0,1
PHI,00-0026189,DeSean Jackson,WR,2020,2.0,26.0,14.0,236.0,432.0,65.0,1.0,0.0,1
LA,00-0026189,DeSean Jackson,WR,2021,2.0,34.0,20.0,454.0,647.0,175.0,2.0,1.0,1
BAL,00-0026189,DeSean Jackson,WR,2022,2.0,17.0,9.0,153.0,302.0,23.0,0.0,0.0,1
MIA,00-0031547,DeVante Parker,WR,2015,2.0,51.0,26.0,494.0,697.0,98.0,3.0,0.0,1
MIA,00-0031547,DeVante Parker,WR,2016,1.0,87.0,56.0,744.0,1043.0,236.0,4.0,0.0,1
MIA,00-0031547,DeVante Parker,WR,2017,1.0,97.0,57.0,670.0,1206.0,207.0,2.0,0.0,1
MIA,00-0031547,DeVante Parker,WR,2018,1.0,47.0,24.0,306.0,608.0,91.0,1.0,0.0,1
